fips,county,year,pm25_mean,ozone_8hr_avg,rsei_tox_air,impaired_stream_miles,npdes_permits_count,avg_temp_f,annual_precip_in
37105,,2024,7.17290823,52.0029075,103.9147581,23.46239409662685,9.0,26.45609637004573,127.86268578506098
37107,,2024,5.957008325,53.72711,447.7063243,6.730503975675972,2.0,26.655000813802083,169.40250651041666
37109,,2024,7.967679079,55.03043784,2437.341282,111.7642877469239,5.0,25.58333333333333,111.67571149553572
37113,,2024,5.904795809,53.76405357,0.491643054,42.65415772633692,32.0,21.357333984375,168.86333333333334
37115,,2024,5.532042446,55.89798059,852.4470985,12.420120439972605,5.0,22.461765064912683,127.85456399356616
37117,,2024,5.856752912,50.93663364,309.9141548,18.172559554472706,8.0,26.37230694110577,158.94137620192308
37111,,2024,5.96671635,54.40386424,95.79500826,6.024508646333617,11.0,23.800001878004807,138.55615985576924
37119,,2024,8.039921403,56.1065291,8213.918735,375.5852276447207,22.0,26.29125061035156,107.76400146484374
37121,,2024,5.425634886,55.69435545,1021.02088,46.43807449743784,5.0,20.625,135.60562133789062
37123,,2024,7.406681412,52.36945909,573.6686274,115.7530841420752,5.0,26.440540210620775,123.35203758445944
37125,,2024,7.184442728,52.11989194,85.83305022,4.679794597996223,6.0,26.497998046875,129.032900390625
37127,,2024,6.633786676,52.64765264,220.8986643,18.07304697593185,10.0,26.165433907214503,132.47703269675927
37129,,2024,5.352132907,53.37687235,2078.135477,155.84472417009553,26.0,27.02068881330819,204.8886213631465
37131,,2024,6.285374173,51.04799522,816.9891255,,5.0,26.139506775655864,137.72653838734567
37133,,2024,5.397951793,53.22463973,213.111952,397.6734116020801,21.0,26.607408311631943,188.00944010416663
37135,,2024,7.180318073,52.68641174,167.4401314,34.058521875083514,112.0,25.717240958378238,122.8343127020474
37137,,2024,5.339421008,52.09579833,476.8676528,114.39976653022012,10.0,26.943139169730397,179.47981770833334
37139,,2024,5.72688966,50.60848812,17.65387335,19.63587311583908,4.0,26.25428641183036,143.97772042410713
37141,,2024,5.253446379,53.16732514,1973.099413,130.24522738473826,9.0,26.757723180259145,188.4667492378049
37143,,2024,5.659214517,50.32469467,318.5013219,19.355892113765087,2.0,26.289473684210527,146.93130653782896
37145,,2024,7.011994128,51.65911615,375.8531546,12.165545973273456,68.0,25.35999959309896,117.55384114583332
37147,,2024,6.000760978,52.75675553,365.4386884,72.1261192173779,7.0,26.627085367838543,167.81009928385416
37149,,2024,6.642494015,54.72397944,360.4753665,,8.0,25.251514781605117,131.55635949337122
37151,,2024,7.512121072,54.31239455,2158.034214,77.1082567546005,26.0,26.00731627921748,121.02210365853658
37153,,2024,7.20606679,52.27630524,159.6776399,15.975349228402315,5.0,26.890277438693577,126.31570095486111
37155,,2024,6.713096477,52.92322121,180.7008489,12.793377831955304,14.0,27.170713588169644,141.3337890625
37157,,2024,7.209227963,53.60810971,565.5351253,42.170666160403,80.0,25.56207345545977,116.53149694683908
37159,,2024,8.154839698,55.95145042,4994.642219,175.48304098835905,13.0,25.630380364912973,110.47520272943038
37161,,2024,7.004355988,54.52177737,616.4319634,21.45382869760402,17.0,25.415475027901785,119.43023390997024
37163,,2024,6.312247267,53.62050306,314.8560288,8.020378141457803,8.0,26.78102189781022,159.23745437956205
37165,,2024,7.071667504,52.63827296,338.5410675,,6.0,27.00800048828125,127.33
37167,,2024,7.730833965,53.83308043,1558.77843,170.9614121149007,9.0,26.522034725900426,117.08864373675848
37169,,2024,7.275985284,54.0368775,1576.932168,18.418593932187704,23.0,24.935714285714287,115.42843191964286
37171,,2024,6.984725463,52.69703905,773.9434784,21.248097018559267,24.0,24.275999348958333,125.0190625
37173,,2024,5.822997824,54.30339545,23.42467902,6.039669152468557,10.0,20.567073170731707,162.53877667682926
37175,,2024,5.733154969,53.65886781,57.73962673,17.403760265428154,25.0,21.603570120675226,173.19142368861608
37177,,2024,5.348135792,50.3105,98.87556826,49.85079413836933,2.0,26.59499918619792,155.55016276041667
37179,,2024,7.615950272,53.22234561,2511.747245,245.5687759678704,8.0,26.578889973958333,107.60966796875
37181,,2024,6.808024361,51.43768943,1440.029612,7.363418304062826,7.0,25.87631546823602,115.80946751644736
37183,,2024,7.364235001,53.69428221,751.525902,225.8310747754649,56.0,26.35702896118164,128.90414428710938
37185,,2024,6.575951936,51.26624867,105.4525697,25.815293419725847,3.0,26.040001502403847,123.83076923076923
37187,,2024,5.56707153,49.77156067,776.8159378,51.98422098083692,6.0,26.46908957741477,157.6578125
37189,,2024,5.716956119,53.40905594,203.6558467,20.85910634880275,34.0,20.375,138.00522682883522
37191,,2024,6.441778232,53.84324036,58.50663512,27.25952721275363,9.0,26.72926591082317,158.4303663300305
37193,,2024,6.742705154,52.03487509,267.0591805,28.42069712744572,15.0,24.10973364905973,126.48141938606194
37195,,2024,6.597436831,53.042786,306.8150731,16.14419304309334,1.0,26.527272727272727,147.24436257102272
37197,,2024,7.571318974,53.42437069,722.1896234,26.73010298020275,11.0,24.896155724158653,111.76134314903848
37199,,2024,5.346355142,56.509185,1871.49779,92.86620248397548,5.0,20.34042553191489,138.8195748836436
